Address,Hotel_name,Rank,Restaurant_nearby,Review
"181 Ba Trieu, Hue 530000 Vietnam",Baly Hotel,#66,20,Excellent
"43 Hung Vuong, Hue 0543 Vietnam",Jade Hotel,#16,105,Excellent
"4B/23 Hai Ba Trung Vinh Ninh, Hue 530000 Vietnam",Diep's Homestay Hue,#98,29,Excellent
"30 Le Loi St, Hue Vietnam",Hotel Saigon Morin,#36,99,Excellent
"33/4 Nguyen Cong Tru, Hue 530000 Vietnam",Hue Mate Hotel,#79,133,Excellent
"17 Pham Ngu Lao Street, Hue 84 Vietnam",Asia Hotel,#44,175,Very good
"2 Luong The Vinh Street, Hue Vietnam",Thai Binh Hotel 2,#52,94,Very good
"29 Tran Quang Khai St., Hue Vietnam",Alba Spa Hotel,#22,122,Excellent
"No. 16, Nguyen Thai Hoc Str., Hue 08454 Vietnam",Romance Hotel,#32,181,Excellent
"43/42 Nguyen Cong Tru Stop and Go Boutique Homestay, Hue 530000 Vietnam",Stop and Go Boutique Homestay Hue,#10,151,Excellent
"2 Luong Quan Street, Thuy Bieu Village, Hue Vietnam",Hue Ecolodge,#56,,Excellent
"46A Chu Van An Phu Hoi, Hue 530000 Vietnam",Hue Melody Hostel,#43,165,Excellent
"12/35 Chu Van An, Hue 530000 Vietnam",Tam Homestay,#84,159,Excellent
"7/6 Chu Van An, Hue 530000 Vietnam",Sala Homestay Hue,#14,148,Excellent
"78 Minh Mang, Hue 530000 Vietnam",Hue Lotus Homestay,#26,10,Excellent
"5A Nguyen Binh, Hue 530000 Vietnam",Anh's Homestay,#50,12,Excellent
"16 Nguyen Sinh Khiem, Hue 530000 Vietnam",Lam Garden Boutique Homestay,#74,15,Excellent
"35 / 6 Chu Van An, Hue 084 Vietnam",Hong Thien Hotel 1,#39,161,Excellent
"4/34 Nguyen Tri Phuong Street, Hue Vietnam",Sunny B Hotel,#93,96,Excellent
"05/14 Nguyen Cong Tru, Hue 530000 Vietnam",Amy Hostel Hue,#33,137,Excellent
"6 Lane 5 Tran Quang Khai, Hue 530000 Vietnam",Hung Long Hostel,#56,184,Excellent
"26 Pham Ngu Lao Street, Hue 530000 Vietnam",Why Not Hostel,#8,171,Excellent
"30A Chu Van An, Hue 47000 Vietnam",ORCHID HOTEL,#14,155,Excellent
"59 Vo Thi Sau, Phu Hoi Ward, Hue 530000 Vietnam",Thanh Lich Hue Hotel,#23,145,Excellent
"03 Pham Ngu Lao Phu Hoi, Hue 530000 Vietnam",La Habana House,#35,164,Excellent
"24 Dang Tran Con, Hue Vietnam",Tam Family Homestay,#17,60,Excellent
"36 Vo Thi Sau, Hue 530000 Vietnam",Hue Royal Hotel,#73,139,Excellent
"34 Alley 485 Chi Lang, Hue 530000 Vietnam",Timothy Homestay,#25,,Excellent
"130 Minh Mang Road, Hue Vietnam",Pilgrimage Village,#17,463,Excellent
"50A Hung Vuong Street, Hue 530000 Vietnam",Vinpearl Hotel Hue,#2,74,Excellent
"37 Nguyen Cong Tru street, Hue 530000 Vietnam",Canary Hotel,#53,139,Excellent
